Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.399845617468577
100% Corpus,9,0.61,0.01,0.38401819614842525
100% Corpus,9,0.61,0.31,0.42487412048503154
100% Corpus,9,0.61,0.61,0.42203294943167396
100% Corpus,9,0.61,0.9099999999999999,0.43384712764609706
100% Corpus,9,0.61,symmetric,0.4405090009061554
100% Corpus,9,0.9099999999999999,0.01,0.39467546037307255
100% Corpus,9,0.9099999999999999,0.31,0.3727521882842384
100% Corpus,9,0.9099999999999999,0.61,0.4023875842033694
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.39053727778988134
100% Corpus,9,0.9099999999999999,symmetric,0.4162810843100362
100% Corpus,9,symmetric,0.01,0.37174309021189345
100% Corpus,9,symmetric,0.31,0.40877754760975993
100% Corpus,9,symmetric,0.61,0.4070195649061248
100% Corpus,9,symmetric,0.9099999999999999,0.4019002745700449
100% Corpus,9,symmetric,symmetric,0.34558973432748497
100% Corpus,9,asymmetric,0.01,0.41051680852208056
100% Corpus,9,asymmetric,0.31,0.40134394094413073
100% Corpus,9,asymmetric,0.61,0.4661265431828633
100% Corpus,9,asymmetric,0.9099999999999999,0.46166940153957925
100% Corpus,9,asymmetric,symmetric,0.389376004070709
100% Corpus,10,0.01,0.01,0.41007910873662173
100% Corpus,10,0.01,0.31,0.45262098332716816
100% Corpus,10,0.01,0.61,0.43688095097205826
100% Corpus,10,0.01,0.9099999999999999,0.45205874941422863
100% Corpus,10,0.01,symmetric,0.4011237504599136
100% Corpus,10,0.31,0.01,0.4221122011979059
100% Corpus,10,0.31,0.31,0.43804632604563193
100% Corpus,10,0.31,0.61,0.4803274449882805
100% Corpus,10,0.31,0.9099999999999999,0.4773372695395762
100% Corpus,10,0.31,symmetric,0.4269037236112954
100% Corpus,10,0.61,0.01,0.4045491082005926
100% Corpus,10,0.61,0.31,0.41224917795253396
100% Corpus,10,0.61,0.61,0.4505154169096646
100% Corpus,10,0.61,0.9099999999999999,0.42477403337157693
100% Corpus,10,0.61,symmetric,0.4109286358881611
100% Corpus,10,0.9099999999999999,0.01,0.39626727046113314
100% Corpus,10,0.9099999999999999,0.31,0.3839244794314164
100% Corpus,10,0.9099999999999999,0.61,0.3853494866401132
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.41943538981529915
100% Corpus,10,0.9099999999999999,symmetric,0.42716402731225306
100% Corpus,10,symmetric,0.01,0.41203298182098624
100% Corpus,10,symmetric,0.31,0.489489682139974
100% Corpus,10,symmetric,0.61,0.4472105127922683
100% Corpus,10,symmetric,0.9099999999999999,0.41808731898810086
100% Corpus,10,symmetric,symmetric,0.4268579458988536
100% Corpus,10,asymmetric,0.01,0.4408300643574955
100% Corpus,10,asymmetric,0.31,0.49818241919459805
100% Corpus,10,asymmetric,0.61,0.4499176637563559
100% Corpus,10,asymmetric,0.9099999999999999,0.44199813786948355
100% Corpus,10,asymmetric,symmetric,0.46075835517314434
