Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,0.9099999999999999,0.41660669994604466
75% Corpus,3,0.31,symmetric,0.44432382563742184
75% Corpus,3,0.61,0.01,0.3598579267057614
75% Corpus,3,0.61,0.31,0.46357777993836297
75% Corpus,3,0.61,0.61,0.444983226883485
75% Corpus,3,0.61,0.9099999999999999,0.44482637137501174
75% Corpus,3,0.61,symmetric,0.4645844577156158
75% Corpus,3,0.9099999999999999,0.01,0.30738457212176357
75% Corpus,3,0.9099999999999999,0.31,0.4740970711173304
75% Corpus,3,0.9099999999999999,0.61,0.45272176292026894
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4531133880137455
75% Corpus,3,0.9099999999999999,symmetric,0.48136791698640846
75% Corpus,3,symmetric,0.01,0.35818957552781705
75% Corpus,3,symmetric,0.31,0.4463593711682418
75% Corpus,3,symmetric,0.61,0.4386117131262442
75% Corpus,3,symmetric,0.9099999999999999,0.41423286498685385
75% Corpus,3,symmetric,symmetric,0.4463593711682417
75% Corpus,3,asymmetric,0.01,0.3818917861008077
75% Corpus,3,asymmetric,0.31,0.41421717337095565
75% Corpus,3,asymmetric,0.61,0.4183858463312249
75% Corpus,3,asymmetric,0.9099999999999999,0.2743099547031248
75% Corpus,3,asymmetric,symmetric,0.4128257514621135
75% Corpus,4,0.01,0.01,0.35410360339656016
75% Corpus,4,0.01,0.31,0.393201614308496
75% Corpus,4,0.01,0.61,0.4235008857328094
75% Corpus,4,0.01,0.9099999999999999,0.4281302244974644
75% Corpus,4,0.01,symmetric,0.39451086149621495
75% Corpus,4,0.31,0.01,0.35538937045267177
75% Corpus,4,0.31,0.31,0.3990222644713649
75% Corpus,4,0.31,0.61,0.41179123453623956
75% Corpus,4,0.31,0.9099999999999999,0.39253697969305446
75% Corpus,4,0.31,symmetric,0.4369748122826303
75% Corpus,4,0.61,0.01,0.33499092521207463
75% Corpus,4,0.61,0.31,0.40490750437204037
75% Corpus,4,0.61,0.61,0.39219409090263
75% Corpus,4,0.61,0.9099999999999999,0.3815299115437054
75% Corpus,4,0.61,symmetric,0.40490750437204037
75% Corpus,4,0.9099999999999999,0.01,0.3207812734614288
75% Corpus,4,0.9099999999999999,0.31,0.4056185512643587
75% Corpus,4,0.9099999999999999,0.61,0.4039391313452988
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3973758558546062
75% Corpus,4,0.9099999999999999,symmetric,0.42097612721570754
75% Corpus,4,symmetric,0.01,0.3808673637187475
75% Corpus,4,symmetric,0.31,0.4144710238506416
75% Corpus,4,symmetric,0.61,0.392678844215939
75% Corpus,4,symmetric,0.9099999999999999,0.38707597945129446
75% Corpus,4,symmetric,symmetric,0.4161585915516276
75% Corpus,4,asymmetric,0.01,0.38640807989559417
75% Corpus,4,asymmetric,0.31,0.43147001453888584
75% Corpus,4,asymmetric,0.61,0.43087266764541043
75% Corpus,4,asymmetric,0.9099999999999999,0.45180328374165096
75% Corpus,4,asymmetric,symmetric,0.4503638885990081
75% Corpus,5,0.01,0.01,0.37965169724927555
75% Corpus,5,0.01,0.31,0.418668465126646
75% Corpus,5,0.01,0.61,0.3877568411125306
75% Corpus,5,0.01,0.9099999999999999,0.3637943441931701
75% Corpus,5,0.01,symmetric,0.4302827110280087
75% Corpus,5,0.31,0.01,0.3679804227183284
75% Corpus,5,0.31,0.31,0.39718222663421077
75% Corpus,5,0.31,0.61,0.41051136201515187
75% Corpus,5,0.31,0.9099999999999999,0.39117678834173536
75% Corpus,5,0.31,symmetric,0.40042639921156165
75% Corpus,5,0.61,0.01,0.3082981539201623
75% Corpus,5,0.61,0.31,0.394958394031503
75% Corpus,5,0.61,0.61,0.35710295959423594
75% Corpus,5,0.61,0.9099999999999999,0.3402037680372596
75% Corpus,5,0.61,symmetric,0.3785285881864469
75% Corpus,5,0.9099999999999999,0.01,0.28122181156316195
75% Corpus,5,0.9099999999999999,0.31,0.3982934987537249
75% Corpus,5,0.9099999999999999,0.61,0.34309551046775133
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3342666956300261
75% Corpus,5,0.9099999999999999,symmetric,0.37992309515666145
75% Corpus,5,symmetric,0.01,0.36816718642742646
75% Corpus,5,symmetric,0.31,0.3893945758166991
75% Corpus,5,symmetric,0.61,0.40194552713217335
75% Corpus,5,symmetric,0.9099999999999999,0.3931333057696671
75% Corpus,5,symmetric,symmetric,0.4195603789417838
75% Corpus,5,asymmetric,0.01,0.3930181663400782
75% Corpus,5,asymmetric,0.31,0.4050283726010339
75% Corpus,5,asymmetric,0.61,0.4468666388350896
75% Corpus,5,asymmetric,0.9099999999999999,0.49950709284910744
75% Corpus,5,asymmetric,symmetric,0.42397110961171025
75% Corpus,6,0.01,0.01,0.38849093929322365
75% Corpus,6,0.01,0.31,0.3933692939268112
75% Corpus,6,0.01,0.61,0.36095702677271474
75% Corpus,6,0.01,0.9099999999999999,0.3740589652253748
75% Corpus,6,0.01,symmetric,0.3995219375933507
75% Corpus,6,0.31,0.01,0.4313171462933509
75% Corpus,6,0.31,0.31,0.3840272995289144
75% Corpus,6,0.31,0.61,0.3700108428382065
75% Corpus,6,0.31,0.9099999999999999,0.3801230723370079
75% Corpus,6,0.31,symmetric,0.4329749931293545
75% Corpus,6,0.61,0.01,0.3536149636369907
75% Corpus,6,0.61,0.31,0.36124840706521266
75% Corpus,6,0.61,0.61,0.35714767902150646
